r|th,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
18,-3.0543299999999998,-2.8797900000000003,-2.70526,-2.53073,-2.3561900000000002,-2.18166,-2.00713,-1.8326,-1.6580599999999999,-1.48353,-1.3090000000000002,-1.13446,-0.959931,-0.7853979999999999,-0.610865,-0.436332,-0.261799,-0.0872665,0.0872665,0.261799,0.436332,0.610865,0.7853979999999999,0.959931,1.13446,1.3090000000000002,1.48353,1.6580599999999999,1.8326,2.00713,2.18166,2.3561900000000002,2.53073,2.70526,2.8797900000000003,3.0543299999999998
19,-3.0543299999999998,-2.8797900000000003,-2.70526,-2.53073,-2.3561900000000002,-2.18166,-2.00713,-1.8326,-1.6580599999999999,-1.48353,-1.3090000000000002,-1.13446,-0.959931,-0.7853979999999999,-0.610865,-0.436332,-0.261799,-0.0872665,0.0872665,0.261799,0.436332,0.610865,0.7853979999999999,0.959931,1.13446,1.3090000000000002,1.48353,1.6580599999999999,1.8326,2.00713,2.18166,2.3561900000000002,2.53073,2.70526,2.8797900000000003,3.0543299999999998
20,-3.0543299999999998,-2.8797900000000003,-2.70526,-2.53073,-2.3561900000000002,-2.18166,-2.00713,-1.8326,-1.6580599999999999,-1.48353,-1.3090000000000002,-1.13446,-0.959931,-0.7853979999999999,-0.610865,-0.436332,-0.261799,-0.0872665,0.0872665,0.261799,0.436332,0.610865,0.7853979999999999,0.959931,1.13446,1.3090000000000002,1.48353,1.6580599999999999,1.8326,2.00713,2.18166,2.3561900000000002,2.53073,2.70526,2.8797900000000003,3.0543299999999998
21,-3.0543299999999998,-2.8797900000000003,-2.70526,-2.53073,-2.3561900000000002,-2.18166,-2.00713,-1.8326,-1.6580599999999999,-1.48353,-1.3090000000000002,-1.13446,-0.959931,-0.7853979999999999,-0.610865,-0.436332,-0.261799,-0.0872665,0.0872665,0.261799,0.436332,0.610865,0.7853979999999999,0.959931,1.13446,1.3090000000000002,1.48353,1.6580599999999999,1.8326,2.00713,2.18166,2.3561900000000002,2.53073,2.70526,2.8797900000000003,3.0543299999999998
22,-3.0543299999999998,-2.8797900000000003,-2.70526,-2.53073,-2.3561900000000002,-2.18166,-2.00713,-1.8326,-1.6580599999999999,-1.48353,-1.3090000000000002,-1.13446,-0.959931,-0.7853979999999999,-0.610865,-0.436332,-0.261799,-0.0872665,0.0872665,0.261799,0.436332,0.610865,0.7853979999999999,0.959931,1.13446,1.3090000000000002,1.48353,1.6580599999999999,1.8326,2.00713,2.18166,2.3561900000000002,2.53073,2.70526,2.8797900000000003,3.0543299999999998
23,-3.0543299999999998,-2.8797900000000003,-2.70526,-2.53073,-2.3561900000000002,-2.18166,-2.00713,-1.8326,-1.6580599999999999,-1.48353,-1.3090000000000002,-1.13446,-0.959931,-0.7853979999999999,-0.610865,-0.436332,-0.261799,-0.0872665,0.0872665,0.261799,0.436332,0.610865,0.7853979999999999,0.959931,1.13446,1.3090000000000002,1.48353,1.6580599999999999,1.8326,2.00713,2.18166,2.3561900000000002,2.53073,2.70526,2.8797900000000003,3.0543299999999998
24,-3.0543299999999998,-2.8797900000000003,-2.70526,-2.53073,-2.3561900000000002,-2.18166,-2.00713,-1.8326,-1.6580599999999999,-1.48353,-1.3090000000000002,-1.13446,-0.959931,-0.7853979999999999,-0.610865,-0.436332,-0.261799,-0.0872665,0.0872665,0.261799,0.436332,0.610865,0.7853979999999999,0.959931,1.13446,1.3090000000000002,1.48353,1.6580599999999999,1.8326,2.00713,2.18166,2.3561900000000002,2.53073,2.70526,2.8797900000000003,3.0543299999999998
25,-3.0543299999999998,-2.8797900000000003,-2.70526,-2.53073,-2.3561900000000002,-2.18166,-2.00713,-1.8326,-1.6580599999999999,-1.48353,-1.3090000000000002,-1.13446,-0.959931,-0.7853979999999999,-0.610865,-0.436332,-0.261799,-0.0872665,0.0872665,0.261799,0.436332,0.610865,0.7853979999999999,0.959931,1.13446,1.3090000000000002,1.48353,1.6580599999999999,1.8326,2.00713,2.18166,2.3561900000000002,2.53073,2.70526,2.8797900000000003,3.0543299999999998
26,-3.0543299999999998,-2.8797900000000003,-2.70526,-2.53073,-2.3561900000000002,-2.18166,-2.00713,-1.8326,-1.6580599999999999,-1.48353,-1.3090000000000002,-1.13446,-0.959931,-0.7853979999999999,-0.610865,-0.436332,-0.261799,-0.0872665,0.0872665,0.261799,0.436332,0.610865,0.7853979999999999,0.959931,1.13446,1.3090000000000002,1.48353,1.6580599999999999,1.8326,2.00713,2.18166,2.3561900000000002,2.53073,2.70526,2.8797900000000003,3.0543299999999998
27,-3.0543299999999998,-2.8797900000000003,-2.70526,-2.53073,-2.3561900000000002,-2.18166,-2.00713,-1.8326,-1.6580599999999999,-1.48353,-1.3090000000000002,-1.13446,-0.959931,-0.7853979999999999,-0.610865,-0.436332,-0.261799,-0.0872665,0.0872665,0.261799,0.436332,0.610865,0.7853979999999999,0.959931,1.13446,1.3090000000000002,1.48353,1.6580599999999999,1.8326,2.00713,2.18166,2.3561900000000002,2.53073,2.70526,2.8797900000000003,3.0543299999999998
28,-3.0543299999999998,-2.8797900000000003,-2.70526,-2.53073,-2.3561900000000002,-2.18166,-2.00713,-1.8326,-1.6580599999999999,-1.48353,-1.3090000000000002,-1.13446,-0.959931,-0.7853979999999999,-0.610865,-0.436332,-0.261799,-0.0872665,0.0872665,0.261799,0.436332,0.610865,0.7853979999999999,0.959931,1.13446,1.3090000000000002,1.48353,1.6580599999999999,1.8326,2.00713,2.18166,2.3561900000000002,2.53073,2.70526,2.8797900000000003,3.0543299999999998
29,-3.0543299999999998,-2.8797900000000003,-2.70526,-2.53073,-2.3561900000000002,-2.18166,-2.00713,-1.8326,-1.6580599999999999,-1.48353,-1.3090000000000002,-1.13446,-0.959931,-0.7853979999999999,-0.610865,-0.436332,-0.261799,-0.0872665,0.0872665,0.261799,0.436332,0.610865,0.7853979999999999,0.959931,1.13446,1.3090000000000002,1.48353,1.6580599999999999,1.8326,2.00713,2.18166,2.3561900000000002,2.53073,2.70526,2.8797900000000003,3.0543299999999998
30,-3.0543299999999998,-2.8797900000000003,-2.70526,-2.53073,-2.3561900000000002,-2.18166,-2.00713,-1.8326,-1.6580599999999999,-1.48353,-1.3090000000000002,-1.13446,-0.959931,-0.7853979999999999,-0.610865,-0.436332,-0.261799,-0.0872665,0.0872665,0.261799,0.436332,0.610865,0.7853979999999999,0.959931,1.13446,1.3090000000000002,1.48353,1.6580599999999999,1.8326,2.00713,2.18166,2.3561900000000002,2.53073,2.70526,2.8797900000000003,3.0543299999999998
31,-3.0543299999999998,-2.8797900000000003,-2.70526,-2.53073,-2.3561900000000002,-2.18166,-2.00713,-1.8326,-1.6580599999999999,-1.48353,-1.3090000000000002,-1.13446,-0.959931,-0.7853979999999999,-0.610865,-0.436332,-0.261799,-0.0872665,0.0872665,0.261799,0.436332,0.610865,0.7853979999999999,0.959931,1.13446,1.3090000000000002,1.48353,1.6580599999999999,1.8326,2.00713,2.18166,2.3561900000000002,2.53073,2.70526,2.8797900000000003,3.0543299999999998
32,-3.0543299999999998,-2.8797900000000003,-2.70526,-2.53073,-2.3561900000000002,-2.18166,-2.00713,-1.8326,-1.6580599999999999,-1.48353,-1.3090000000000002,-1.13446,-0.959931,-0.7853979999999999,-0.610865,-0.436332,-0.261799,-0.0872665,0.0872665,0.261799,0.436332,0.610865,0.7853979999999999,0.959931,1.13446,1.3090000000000002,1.48353,1.6580599999999999,1.8326,2.00713,2.18166,2.3561900000000002,2.53073,2.70526,2.8797900000000003,3.0543299999999998
33,-3.0543299999999998,-2.8797900000000003,-2.70526,-2.53073,-2.3561900000000002,-2.18166,-2.00713,-1.8326,-1.6580599999999999,-1.48353,-1.3090000000000002,-1.13446,-0.959931,-0.7853979999999999,-0.610865,-0.436332,-0.261799,-0.0872665,0.0872665,0.261799,0.436332,0.610865,0.7853979999999999,0.959931,1.13446,1.3090000000000002,1.48353,1.6580599999999999,1.8326,2.00713,2.18166,2.3561900000000002,2.53073,2.70526,2.8797900000000003,3.0543299999999998
34,-3.0543299999999998,-2.8797900000000003,-2.70526,-2.53073,-2.3561900000000002,-2.18166,-2.00713,-1.8326,-1.6580599999999999,-1.48353,-1.3090000000000002,-1.13446,-0.959931,-0.7853979999999999,-0.610865,-0.436332,-0.261799,-0.0872665,0.0872665,0.261799,0.436332,0.610865,0.7853979999999999,0.959931,1.13446,1.3090000000000002,1.48353,1.6580599999999999,1.8326,2.00713,2.18166,2.3561900000000002,2.53073,2.70526,2.8797900000000003,3.0543299999999998
35,-3.0543299999999998,-2.8797900000000003,-2.70526,-2.53073,-2.3561900000000002,-2.18166,-2.00713,-1.8326,-1.6580599999999999,-1.48353,-1.3090000000000002,-1.13446,-0.959931,-0.7853979999999999,-0.610865,-0.436332,-0.261799,-0.0872665,0.0872665,0.261799,0.436332,0.610865,0.7853979999999999,0.959931,1.13446,1.3090000000000002,1.48353,1.6580599999999999,1.8326,2.00713,2.18166,2.3561900000000002,2.53073,2.70526,2.8797900000000003,3.0543299999999998
36,-3.0543299999999998,-2.8797900000000003,-2.70526,-2.53073,-2.3561900000000002,-2.18166,-2.00713,-1.8326,-1.6580599999999999,-1.48353,-1.3090000000000002,-1.13446,-0.959931,-0.7853979999999999,-0.610865,-0.436332,-0.261799,-0.0872665,0.0872665,0.261799,0.436332,0.610865,0.7853979999999999,0.959931,1.13446,1.3090000000000002,1.48353,1.6580599999999999,1.8326,2.00713,2.18166,2.3561900000000002,2.53073,2.70526,2.8797900000000003,3.0543299999999998
37,-3.0543299999999998,-2.8797900000000003,-2.70526,-2.53073,-2.3561900000000002,-2.18166,-2.00713,-1.8326,-1.6580599999999999,-1.48353,-1.3090000000000002,-1.13446,-0.959931,-0.7853979999999999,-0.610865,-0.436332,-0.261799,-0.0872665,0.0872665,0.261799,0.436332,0.610865,0.7853979999999999,0.959931,1.13446,1.3090000000000002,1.48353,1.6580599999999999,1.8326,2.00713,2.18166,2.3561900000000002,2.53073,2.70526,2.8797900000000003,3.0543299999999998
38,-3.0543299999999998,-2.8797900000000003,-2.70526,-2.53073,-2.3561900000000002,-2.18166,-2.00713,-1.8326,-1.6580599999999999,-1.48353,-1.3090000000000002,-1.13446,-0.959931,-0.7853979999999999,-0.610865,-0.436332,-0.261799,-0.0872665,0.0872665,0.261799,0.436332,0.610865,0.7853979999999999,0.959931,1.13446,1.3090000000000002,1.48353,1.6580599999999999,1.8326,2.00713,2.18166,2.3561900000000002,2.53073,2.70526,2.8797900000000003,3.0543299999999998
39,-3.0543299999999998,-2.8797900000000003,-2.70526,-2.53073,-2.3561900000000002,-2.18166,-2.00713,-1.8326,-1.6580599999999999,-1.48353,-1.3090000000000002,-1.13446,-0.959931,-0.7853979999999999,-0.610865,-0.436332,-0.261799,-0.0872665,0.0872665,0.261799,0.436332,0.610865,0.7853979999999999,0.959931,1.13446,1.3090000000000002,1.48353,1.6580599999999999,1.8326,2.00713,2.18166,2.3561900000000002,2.53073,2.70526,2.8797900000000003,3.0543299999999998
40,-3.0543299999999998,-2.8797900000000003,-2.70526,-2.53073,-2.3561900000000002,-2.18166,-2.00713,-1.8326,-1.6580599999999999,-1.48353,-1.3090000000000002,-1.13446,-0.959931,-0.7853979999999999,-0.610865,-0.436332,-0.261799,-0.0872665,0.0872665,0.261799,0.436332,0.610865,0.7853979999999999,0.959931,1.13446,1.3090000000000002,1.48353,1.6580599999999999,1.8326,2.00713,2.18166,2.3561900000000002,2.53073,2.70526,2.8797900000000003,3.0543299999999998
41,-3.0543299999999998,-2.8797900000000003,-2.70526,-2.53073,-2.3561900000000002,-2.18166,-2.00713,-1.8326,-1.6580599999999999,-1.48353,-1.3090000000000002,-1.13446,-0.959931,-0.7853979999999999,-0.610865,-0.436332,-0.261799,-0.0872665,0.0872665,0.261799,0.436332,0.610865,0.7853979999999999,0.959931,1.13446,1.3090000000000002,1.48353,1.6580599999999999,1.8326,2.00713,2.18166,2.3561900000000002,2.53073,2.70526,2.8797900000000003,3.0543299999999998
42,-3.0543299999999998,-2.8797900000000003,-2.70526,-2.53073,-2.3561900000000002,-2.18166,-2.00713,-1.8326,-1.6580599999999999,-1.48353,-1.3090000000000002,-1.13446,-0.959931,-0.7853979999999999,-0.610865,-0.436332,-0.261799,-0.0872665,0.0872665,0.261799,0.436332,0.610865,0.7853979999999999,0.959931,1.13446,1.3090000000000002,1.48353,1.6580599999999999,1.8326,2.00713,2.18166,2.3561900000000002,2.53073,2.70526,2.8797900000000003,3.0543299999999998
43,-3.0543299999999998,-2.8797900000000003,-2.70526,-2.53073,-2.3561900000000002,-2.18166,-2.00713,-1.8326,-1.6580599999999999,-1.48353,-1.3090000000000002,-1.13446,-0.959931,-0.7853979999999999,-0.610865,-0.436332,-0.261799,-0.0872665,0.0872665,0.261799,0.436332,0.610865,0.7853979999999999,0.959931,1.13446,1.3090000000000002,1.48353,1.6580599999999999,1.8326,2.00713,2.18166,2.3561900000000002,2.53073,2.70526,2.8797900000000003,3.0543299999999998
44,-3.0543299999999998,-2.8797900000000003,-2.70526,-2.53073,-2.3561900000000002,-2.18166,-2.00713,-1.8326,-1.6580599999999999,-1.48353,-1.3090000000000002,-1.13446,-0.959931,-0.7853979999999999,-0.610865,-0.436332,-0.261799,-0.0872665,0.0872665,0.261799,0.436332,0.610865,0.7853979999999999,0.959931,1.13446,1.3090000000000002,1.48353,1.6580599999999999,1.8326,2.00713,2.18166,2.3561900000000002,2.53073,2.70526,2.8797900000000003,3.0543299999999998
